,Index,Report,Size
2452,2509,CEREBROSPINAL FLUID MICROBIOLOGY,777
2453,2510,RESPIRATORY MICROBIOLOGY,989
2454,2511,MULTI-RESISTANT ORGANISM SCREEN,276
2455,2512,RESPIRATORY MICROBIOLOGY,441
2456,2513,MULTI-RESISTANT ORGANISM SCREEN,267
2457,2514,MULTI-RESISTANT ORGANISM SCREEN,276
2458,2515,BLOOD CULTURE MICROBIOLOGY,236
2459,2516,MULTI-RESISTANT ORGANISM SCREEN,266
2460,2517,URINE MICROBIOLOGY,401
2461,2518,URINE MICROBIOLOGY,515
2462,2519,MULTI-RESISTANT ORGANISM SCREEN,275
2463,2520,MULTI-RESISTANT ORGANISM SCREEN,241
2464,2521,MULTI-RESISTANT ORGANISM SCREEN,275
2465,2522,RESPIRATORY MICROBIOLOGY,1095
2466,2523,MULTI-RESISTANT ORGANISM SCREEN,276
2467,2524,RESPIRATORY MICROBIOLOGY,465
2468,2525,MICROBIOLOGY,448
2469,2526,URINE MICROBIOLOGY,421
2470,2527,MULTI-RESISTANT ORGANISM SCREEN,254
2471,2528,MULTI-RESISTANT ORGANISM SCREEN,276
2472,2529,BLOOD CULTURE MICROBIOLOGY,260
2473,2530,BLOOD CULTURE MICROBIOLOGY,236
2474,2531,MULTI-RESISTANT ORGANISM SCREEN,252
2475,2532,BLOOD CULTURE MICROBIOLOGY,236
2476,2533,MICROBIOLOGY,890
2477,2534,URINE MICROBIOLOGY,401
2478,2535,CATHETER TIP MICROBIOLOGY,267
2479,2536,URINE MICROBIOLOGY,421
2480,2537,MULTI-RESISTANT ORGANISM SCREEN,275
2481,2538,MULTI-RESISTANT ORGANISM SCREEN,275
2482,2539,RESPIRATORY MICROBIOLOGY,445
2483,2540,MULTI-RESISTANT ORGANISM SCREEN,254
2484,2541,RESPIRATORY MICROBIOLOGY,1102
2485,2542,CEREBROSPINAL FLUID MICROBIOLOGY,829
2486,2543,RESPIRATORY MICROBIOLOGY,455
2487,2544,URINE MICROBIOLOGY,421
2488,2545,RESPIRATORY MICROBIOLOGY,2099
2489,2546,MULTI-RESISTANT ORGANISM SCREEN,275
2490,2547,CEREBROSPINAL FLUID MICROBIOLOGY,670
2491,2548,CATHETER TIP MICROBIOLOGY,256
2492,2549,MULTI-RESISTANT ORGANISM SCREEN,276
2493,2550,CEREBROSPINAL FLUID MICROBIOLOGY,802
2494,2551,BLOOD CULTURE MICROBIOLOGY,236
2495,2552,BLOOD CULTURE MICROBIOLOGY,779
2496,2553,MULTI-RESISTANT ORGANISM SCREEN,254
2497,2554,URINE MICROBIOLOGY,1216
2498,2555,BLOOD CULTURE MICROBIOLOGY,236
2499,2556,MULTI-RESISTANT ORGANISM SCREEN,277
2500,2557,URINE MICROBIOLOGY,517
2501,2558,RESPIRATORY MICROBIOLOGY,1372
2502,2559,CEREBROSPINAL FLUID MICROBIOLOGY,838
2503,2560,MULTI-RESISTANT ORGANISM SCREEN,276
2504,2561,URINE MICROBIOLOGY,401
2505,2562,MULTI-RESISTANT ORGANISM SCREEN,276
2506,2563,MICROBIOLOGY,442
2507,2564,MULTI-RESISTANT ORGANISM SCREEN,275
2508,2565,MULTI-RESISTANT ORGANISM SCREEN,277
2509,2566,MULTI-RESISTANT ORGANISM SCREEN,275
2510,2567,URINE MICROBIOLOGY,401
2511,2568,RESPIRATORY MICROBIOLOGY,1249
2512,2569,URINE MICROBIOLOGY,928
2513,2570,MULTI-RESISTANT ORGANISM SCREEN,276
2514,2571,URINE MICROBIOLOGY,401
2515,2572,MULTI-RESISTANT ORGANISM SCREEN,254
2516,2573,MULTI-RESISTANT ORGANISM SCREEN,424
2517,2574,BODY FLUID EXAMINATION,298
2518,2575,MICROBIOLOGY,698
2519,2576,CEREBROSPINAL FLUID MICROBIOLOGY,986
2520,2577,MICROBIOLOGY,427
2521,2578,MULTI-RESISTANT ORGANISM SCREEN,268
2522,2579,URINE MICROBIOLOGY,411
2523,2580,MICROBIOLOGY,300
2524,2581,MULTI-RESISTANT ORGANISM SCREEN,267
2525,2582,MULTI-RESISTANT ORGANISM SCREEN,254
2526,2583,CATHETER TIP MICROBIOLOGY,369
2527,2584,MULTI-RESISTANT ORGANISM SCREEN,276
2528,2585,MULTI-RESISTANT ORGANISM SCREEN,254
2529,2586,BODY FLUID EXAMINATION,289
2530,2587,URINE MICROBIOLOGY,401
2531,2588,MULTI-RESISTANT ORGANISM SCREEN,254
2532,2589,MULTI-RESISTANT ORGANISM SCREEN,275
2533,2590,RESPIRATORY MICROBIOLOGY,1153
2534,2591,MULTI-RESISTANT ORGANISM SCREEN,275
2535,2592,MULTI-RESISTANT ORGANISM SCREEN,275
2536,2593,URINE MICROBIOLOGY,1055
2537,2594,BLOOD CULTURE MICROBIOLOGY,236
2538,2595,RESPIRATORY MICROBIOLOGY,1028
2539,2596,MULTI-RESISTANT ORGANISM SCREEN,275
2540,2597,URINE MICROBIOLOGY,427
2541,2598,RESPIRATORY MICROBIOLOGY,442
2542,2599,MULTI-RESISTANT ORGANISM SCREEN,276
2543,2600,CEREBROSPINAL FLUID MICROBIOLOGY,649
2544,2601,MULTI-RESISTANT ORGANISM SCREEN,276
2545,2602,MULTI-RESISTANT ORGANISM SCREEN,275
2546,2603,CEREBROSPINAL FLUID MICROBIOLOGY,676
2547,2604,MULTI-RESISTANT ORGANISM SCREEN,275
2548,2605,MULTI-RESISTANT ORGANISM SCREEN,276
2549,2606,MULTI-RESISTANT ORGANISM SCREEN,268
2550,2607,MULTI-RESISTANT ORGANISM SCREEN,276
2551,2608,MULTI-RESISTANT ORGANISM SCREEN,275
2552,2609,MULTI-RESISTANT ORGANISM SCREEN,275
2553,2610,MICROBIOLOGY,758
2554,2611,CEREBROSPINAL FLUID MICROBIOLOGY,649
2555,2612,MULTI-RESISTANT ORGANISM SCREEN,251
2556,2613,CEREBROSPINAL FLUID MICROBIOLOGY,715
2557,2614,URINE MICROBIOLOGY,401
2558,2615,MULTI-RESISTANT ORGANISM SCREEN,272
2559,2617,MULTI-RESISTANT ORGANISM SCREEN,275
2560,2618,MICROBIOLOGY,942
2561,2619,MULTI-RESISTANT ORGANISM SCREEN,267
2562,2620,URINE MICROBIOLOGY,403
2563,2621,MULTI-RESISTANT ORGANISM SCREEN,254
2564,2622,MULTI-RESISTANT ORGANISM SCREEN,268
2565,2623,MULTI-RESISTANT ORGANISM SCREEN,275
2566,2624,BLOOD CULTURE MICROBIOLOGY,228
2567,2625,MULTI-RESISTANT ORGANISM SCREEN,254
2568,2626,RESPIRATORY MICROBIOLOGY,1121
2569,2627,MULTI-RESISTANT ORGANISM SCREEN,267
2570,2628,MULTI-RESISTANT ORGANISM SCREEN,276
2571,2629,BLOOD CULTURE MICROBIOLOGY,236
2572,2630,MULTI-RESISTANT ORGANISM SCREEN,276
2573,2631,RESPIRATORY MICROBIOLOGY,453
2574,2632,MULTI-RESISTANT ORGANISM SCREEN,254
2575,2633,URINE MICROBIOLOGY,476
2576,2634,MULTI-RESISTANT ORGANISM SCREEN,434
2577,2635,MULTI-RESISTANT ORGANISM SCREEN,276
2578,2636,MULTI-RESISTANT ORGANISM SCREEN,254
2579,2637,MULTI-RESISTANT ORGANISM SCREEN,275
2580,2638,BLOOD CULTURE MICROBIOLOGY,286
2581,2639,RESPIRATORY MICROBIOLOGY,428
2582,2640,MULTI-RESISTANT ORGANISM SCREEN,276
2583,2641,RESPIRATORY MICROBIOLOGY,1483
2584,2642,MULTI-RESISTANT ORGANISM SCREEN,268
2585,2643,URINE MICROBIOLOGY,456
2586,2644,MULTI-RESISTANT ORGANISM SCREEN,277
2587,2645,BLOOD CULTURE MICROBIOLOGY,228
2588,2646,MULTI-RESISTANT ORGANISM SCREEN,267
2589,2647,MULTI-RESISTANT ORGANISM SCREEN,254
2590,2648,MULTI-RESISTANT ORGANISM SCREEN,267
2591,2649,MULTI-RESISTANT ORGANISM SCREEN,268
2592,2650,MULTI-RESISTANT ORGANISM SCREEN,276
2593,2652,MULTI-RESISTANT ORGANISM SCREEN,268
2594,2653,MULTI-RESISTANT ORGANISM SCREEN,275
2595,2654,MULTI-RESISTANT ORGANISM SCREEN,262
2596,2655,MULTI-RESISTANT ORGANISM SCREEN,267
2597,2656,MULTI-RESISTANT ORGANISM SCREEN,276
2598,2657,RESPIRATORY MICROBIOLOGY,407
2599,2658,MULTI-RESISTANT ORGANISM SCREEN,268
2600,2659,MULTI-RESISTANT ORGANISM SCREEN,263
2601,2660,URINE MICROBIOLOGY,421
2602,2662,BODY FLUID EXAMINATION,593
2603,2663,MULTI-RESISTANT ORGANISM SCREEN,254
2604,2664,MULTI-RESISTANT ORGANISM SCREEN,267
2605,2665,MULTI-RESISTANT ORGANISM SCREEN,252
2606,2666,URINE MICROBIOLOGY,401
2607,2667,MICROBIOLOGY,930
2608,2668,MULTI-RESISTANT ORGANISM SCREEN,275
2609,2669,BLOOD CULTURE MICROBIOLOGY,236
2610,2670,MULTI-RESISTANT ORGANISM SCREEN,274
2611,2671,MULTI-RESISTANT ORGANISM SCREEN,268
2612,2672,MULTI-RESISTANT ORGANISM SCREEN,269
2613,2673,MULTI-RESISTANT ORGANISM SCREEN,273
2614,2674,MULTI-RESISTANT ORGANISM SCREEN,254
2615,2675,MULTI-RESISTANT ORGANISM SCREEN,269
2616,2676,MULTI-RESISTANT ORGANISM SCREEN,267
2617,2677,MULTI-RESISTANT ORGANISM SCREEN,276
2618,2678,MULTI-RESISTANT ORGANISM SCREEN,276
2619,2679,MULTI-RESISTANT ORGANISM SCREEN,268
2620,2680,MICROBIOLOGY,680
2621,2681,BLOOD CULTURE MICROBIOLOGY,517
2622,2682,MULTI-RESISTANT ORGANISM SCREEN,275
2623,2683,MULTI-RESISTANT ORGANISM SCREEN,275
2624,2684,MULTI-RESISTANT ORGANISM SCREEN,276
2625,2685,MULTI-RESISTANT ORGANISM SCREEN,275
2626,2686,BLOOD CULTURE MICROBIOLOGY,220
2627,2687,MULTI-RESISTANT ORGANISM SCREEN,254
2628,2688,MULTI-RESISTANT ORGANISM SCREEN,276
2629,2689,MULTI-RESISTANT ORGANISM SCREEN,275
2630,2690,URINE MICROBIOLOGY,413
2631,2691,MULTI-RESISTANT ORGANISM SCREEN,327
2632,2692,MULTI-RESISTANT ORGANISM SCREEN,276
2633,2693,MULTI-RESISTANT ORGANISM SCREEN,276
2634,2694,BLOOD CULTURE MICROBIOLOGY,236
2635,2695,MULTI-RESISTANT ORGANISM SCREEN,277
2636,2696,URINE MICROBIOLOGY,413
2637,2697,MULTI-RESISTANT ORGANISM SCREEN,276
2638,2698,MICROBIOLOGY,434
2639,2699,MULTI-RESISTANT ORGANISM SCREEN,275
2640,2700,CATHETER TIP MICROBIOLOGY,267
2641,2701,MULTI-RESISTANT ORGANISM SCREEN,267
2642,2702,MICROBIOLOGY,682
2643,2704,MICROBIOLOGY,904
2644,2705,MULTI-RESISTANT ORGANISM SCREEN,274
2645,2706,BLOOD CULTURE MICROBIOLOGY,594
2646,2707,MICROBIOLOGY,252
2647,2708,MULTI-RESISTANT ORGANISM SCREEN,273
2648,2709,RESPIRATORY MICROBIOLOGY,1248
2649,2710,MULTI-RESISTANT ORGANISM SCREEN,268
2650,2711,MULTI-RESISTANT ORGANISM SCREEN,275
2651,2712,URINE MICROBIOLOGY,1041
2652,2713,MICROBIOLOGY,909
2653,2714,MULTI-RESISTANT ORGANISM SCREEN,276
2654,2715,URINE MICROBIOLOGY,456
2655,2716,BLOOD CULTURE MICROBIOLOGY,587
2656,2717,BLOOD CULTURE MICROBIOLOGY,236
2657,2718,BLOOD CULTURE MICROBIOLOGY,527
2658,2719,MULTI-RESISTANT ORGANISM SCREEN,315
2659,2720,BLOOD CULTURE MICROBIOLOGY,585
2660,2721,RESPIRATORY MICROBIOLOGY,1007
2661,2722,URINE MICROBIOLOGY,401
2662,2723,MULTI-RESISTANT ORGANISM SCREEN,328
2663,2724,MULTI-RESISTANT ORGANISM SCREEN,254
2664,2725,URINE MICROBIOLOGY,421
2665,2726,BLOOD CULTURE MICROBIOLOGY,228
2666,2727,MULTI-RESISTANT ORGANISM SCREEN,275
2667,2728,MULTI-RESISTANT ORGANISM SCREEN,276
2668,2729,BLOOD CULTURE MICROBIOLOGY,228
2669,2730,MICROBIOLOGY,535
2670,2731,MULTI-RESISTANT ORGANISM SCREEN,277
2671,2732,URINE MICROBIOLOGY,416
2672,2733,MULTI-RESISTANT ORGANISM SCREEN,276
2673,2734,URINE MICROBIOLOGY,421
2674,2735,MULTI-RESISTANT ORGANISM SCREEN,274
2675,2736,MULTI-RESISTANT ORGANISM SCREEN,254
2676,2737,URINE MICROBIOLOGY,401
2677,2738,MULTI-RESISTANT ORGANISM SCREEN,276
2678,2739,MULTI-RESISTANT ORGANISM SCREEN,273
2679,2740,MULTI-RESISTANT ORGANISM SCREEN,266
2680,2741,MULTI-RESISTANT ORGANISM SCREEN,275
2681,2742,MULTI-RESISTANT ORGANISM SCREEN,268
2682,2743,MULTI-RESISTANT ORGANISM SCREEN,267
2683,2744,MULTI-RESISTANT ORGANISM SCREEN,275
2684,2745,MULTI-RESISTANT ORGANISM SCREEN,267
2685,2746,BLOOD CULTURE MICROBIOLOGY,228
2686,2747,MULTI-RESISTANT ORGANISM SCREEN,254
2687,2748,FAECES MICROBIOLOGY,425
2688,2749,BLOOD CULTURE MICROBIOLOGY,228
2689,2750,MULTI-RESISTANT ORGANISM SCREEN,276
2690,2751,CEREBROSPINAL FLUID MICROBIOLOGY,865
2691,2752,MULTI-RESISTANT ORGANISM SCREEN,276
2692,2753,MULTI-RESISTANT ORGANISM SCREEN,267
2693,2754,MULTI-RESISTANT ORGANISM SCREEN,276
2694,2755,BLOOD CULTURE MICROBIOLOGY,517
2695,2756,MULTI-RESISTANT ORGANISM SCREEN,276
2696,2757,MULTI-RESISTANT ORGANISM SCREEN,275
2697,2758,MULTI-RESISTANT ORGANISM SCREEN,268
2698,2759,MULTI-RESISTANT ORGANISM SCREEN,276
2699,2760,MULTI-RESISTANT ORGANISM SCREEN,254
2700,2761,MULTI-RESISTANT ORGANISM SCREEN,273
2701,2762,BLOOD CULTURE MICROBIOLOGY,236
2702,2763,MULTI-RESISTANT ORGANISM SCREEN,275
2703,2764,BLOOD CULTURE MICROBIOLOGY,228
2704,2765,URINE MICROBIOLOGY,401
2705,2766,MULTI-RESISTANT ORGANISM SCREEN,252
2706,2767,RESPIRATORY MICROBIOLOGY,888
2707,2768,BLOOD CULTURE MICROBIOLOGY,228
2708,2769,MULTI-RESISTANT ORGANISM SCREEN,274
2709,2770,URINE MICROBIOLOGY,401
2710,2771,MULTI-RESISTANT ORGANISM SCREEN,276
2711,2772,BLOOD CULTURE MICROBIOLOGY,532
2712,2773,MULTI-RESISTANT ORGANISM SCREEN,275
2713,2774,MULTI-RESISTANT ORGANISM SCREEN,275
2714,2775,BLOOD CULTURE MICROBIOLOGY,228
2715,2776,BLOOD CULTURE MICROBIOLOGY,717
2716,2777,MICROBIOLOGY,819
2717,2778,MULTI-RESISTANT ORGANISM SCREEN,276
2718,2779,URINE MICROBIOLOGY,401
2719,2780,MULTI-RESISTANT ORGANISM SCREEN,275
2720,2781,MULTI-RESISTANT ORGANISM SCREEN,274
2721,2782,MULTI-RESISTANT ORGANISM SCREEN,276
2722,2783,BLOOD CULTURE MICROBIOLOGY,260
2723,2784,MULTI-RESISTANT ORGANISM SCREEN,275
2724,2785,MULTI-RESISTANT ORGANISM SCREEN,254
2725,2786,BLOOD CULTURE MICROBIOLOGY,260
2726,2787,MULTI-RESISTANT ORGANISM SCREEN,254
2727,2788,MULTI-RESISTANT ORGANISM SCREEN,275
2728,2790,BLOOD CULTURE MICROBIOLOGY,593
2729,2791,URINE MICROBIOLOGY,401
2730,2792,MICROBIOLOGY,406
2731,2793,BLOOD CULTURE MICROBIOLOGY,840
2732,2794,MULTI-RESISTANT ORGANISM SCREEN,274
2733,2795,MULTI-RESISTANT ORGANISM SCREEN,254
2734,2796,RESPIRATORY MICROBIOLOGY,890
2735,2797,MULTI-RESISTANT ORGANISM SCREEN,273
2736,2798,BLOOD CULTURE MICROBIOLOGY,234
2737,2799,MICROBIOLOGY,456
2738,2800,URINE MICROBIOLOGY,456
2739,2801,URINE MICROBIOLOGY,401
2740,2802,URINE MICROBIOLOGY,455
2741,2803,MULTI-RESISTANT ORGANISM SCREEN,273
2742,2804,BLOOD CULTURE MICROBIOLOGY,260
2743,2805,MULTI-RESISTANT ORGANISM SCREEN,275
2744,2806,MULTI-RESISTANT ORGANISM SCREEN,254
2745,2807,MICROBIOLOGY,397
2746,2808,MULTI-RESISTANT ORGANISM SCREEN,254
2747,2809,MULTI-RESISTANT ORGANISM SCREEN,276
2748,2810,URINE MICROBIOLOGY,421
2749,2811,MULTI-RESISTANT ORGANISM SCREEN,276
2750,2812,BODY FLUID EXAMINATION,627
2751,2813,MULTI-RESISTANT ORGANISM SCREEN,268
2752,2814,URINE MICROBIOLOGY,679
2753,2815,MULTI-RESISTANT ORGANISM SCREEN,267
2754,2816,BLOOD CULTURE MICROBIOLOGY,236
2755,2817,GENITAL MICROBIOLOGY,645
2756,2818,MULTI-RESISTANT ORGANISM SCREEN,272
2757,2819,MULTI-RESISTANT ORGANISM SCREEN,275
2758,2820,RESPIRATORY MICROBIOLOGY,976
2759,2821,MULTI-RESISTANT ORGANISM SCREEN,267
2760,2822,MULTI-RESISTANT ORGANISM SCREEN,276
2761,2823,MULTI-RESISTANT ORGANISM SCREEN,273
2762,2824,BLOOD CULTURE MICROBIOLOGY,236
2763,2825,URINE MICROBIOLOGY,401
2764,2826,MULTI-RESISTANT ORGANISM SCREEN,268
2765,2827,URINE MICROBIOLOGY,401
2766,2828,FAECES MICROBIOLOGY,430
2767,2829,MULTI-RESISTANT ORGANISM SCREEN,275
2768,2830,MULTI-RESISTANT ORGANISM SCREEN,275
2769,2831,BLOOD CULTURE MICROBIOLOGY,236
2770,2832,BLOOD CULTURE MICROBIOLOGY,229
2771,2833,MULTI-RESISTANT ORGANISM SCREEN,275
2772,2834,RESPIRATORY MICROBIOLOGY,439
2773,2835,CATHETER TIP MICROBIOLOGY,243
2774,2836,URINE MICROBIOLOGY,421
2775,2837,BLOOD CULTURE MICROBIOLOGY,236
2776,2838,MULTI-RESISTANT ORGANISM SCREEN,247
2777,2839,BLOOD CULTURE MICROBIOLOGY,520
2778,2840,MULTI-RESISTANT ORGANISM SCREEN,254
2779,2841,MULTI-RESISTANT ORGANISM SCREEN,274
2780,2842,BLOOD CULTURE MICROBIOLOGY,791
2781,2843,MULTI-RESISTANT ORGANISM SCREEN,276
2782,2844,CATHETER TIP MICROBIOLOGY,531
2783,2845,RESPIRATORY MICROBIOLOGY,860
2784,2846,MULTI-RESISTANT ORGANISM SCREEN,275
2785,2847,RESPIRATORY MICROBIOLOGY,577
2786,2848,URINE MICROBIOLOGY,412
2787,2849,MULTI-RESISTANT ORGANISM SCREEN,276
2788,2850,MULTI-RESISTANT ORGANISM SCREEN,254
2789,2851,BLOOD CULTURE MICROBIOLOGY,586
2790,2852,URINE MICROBIOLOGY,401
2791,2854,RESPIRATORY MICROBIOLOGY,849
2792,2855,CATHETER TIP MICROBIOLOGY,268
2793,2856,RESPIRATORY MICROBIOLOGY,1028
2794,2857,MICROBIOLOGY,442
2795,2858,CATHETER TIP MICROBIOLOGY,260
2796,2859,URINE MICROBIOLOGY,476
2797,2861,MULTI-RESISTANT ORGANISM SCREEN,254
2798,2862,BLOOD CULTURE MICROBIOLOGY,264
2799,2863,URINE MICROBIOLOGY,401
2800,2864,BLOOD CULTURE MICROBIOLOGY,286
2801,2865,MULTI-RESISTANT ORGANISM SCREEN,275
2802,2866,RESPIRATORY MICROBIOLOGY,1483
2803,2867,MULTI-RESISTANT ORGANISM SCREEN,254
2804,2868,BLOOD CULTURE MICROBIOLOGY,390
2805,2869,URINE MICROBIOLOGY,456
2806,2870,MULTI-RESISTANT ORGANISM SCREEN,275
2807,2871,CATHETER TIP MICROBIOLOGY,250
2808,2872,MULTI-RESISTANT ORGANISM SCREEN,254
2809,2873,MULTI-RESISTANT ORGANISM SCREEN,277
2810,2874,MICROBIOLOGY,495
2811,2875,MULTI-RESISTANT ORGANISM SCREEN,396
2812,2876,MULTI-RESISTANT ORGANISM SCREEN,277
2813,2877,RESPIRATORY MICROBIOLOGY,977
2814,2878,MULTI-RESISTANT ORGANISM SCREEN,274
2815,2879,MULTI-RESISTANT ORGANISM SCREEN,276
2816,2880,MICROBIOLOGY,444
2817,2881,MULTI-RESISTANT ORGANISM SCREEN,275
2818,2882,BLOOD CULTURE MICROBIOLOGY,228
2819,2884,MULTI-RESISTANT ORGANISM SCREEN,254
2820,2885,MULTI-RESISTANT ORGANISM SCREEN,276
2821,2886,MULTI-RESISTANT ORGANISM SCREEN,276
2822,2887,MULTI-RESISTANT ORGANISM SCREEN,275
2823,2889,MULTI-RESISTANT ORGANISM SCREEN,254
2824,2890,MULTI-RESISTANT ORGANISM SCREEN,267
2825,2891,MULTI-RESISTANT ORGANISM SCREEN,276
2826,2892,MULTI-RESISTANT ORGANISM SCREEN,275
2827,2894,MULTI-RESISTANT ORGANISM SCREEN,276
2828,2895,BLOOD CULTURE MICROBIOLOGY,234
2829,2896,MULTI-RESISTANT ORGANISM SCREEN,268
2830,2897,MULTI-RESISTANT ORGANISM SCREEN,254
2831,2898,URINE MICROBIOLOGY,626
2832,2899,URINE MICROBIOLOGY,1054
2833,2900,MULTI-RESISTANT ORGANISM SCREEN,275
2834,2901,MICROBIOLOGY,412
2835,2902,MULTI-RESISTANT ORGANISM SCREEN,263
2836,2903,MULTI-RESISTANT ORGANISM SCREEN,267
2837,2904,RESPIRATORY MICROBIOLOGY,961
2838,2905,MULTI-RESISTANT ORGANISM SCREEN,268
2839,2906,MULTI-RESISTANT ORGANISM SCREEN,409
2840,2907,MULTI-RESISTANT ORGANISM SCREEN,254
2841,2908,URINE MICROBIOLOGY,401
2842,2910,RESPIRATORY MICROBIOLOGY,507
2843,2911,MULTI-RESISTANT ORGANISM SCREEN,342
2844,2912,MULTI-RESISTANT ORGANISM SCREEN,411
2845,2913,MULTI-RESISTANT ORGANISM SCREEN,269
2846,2914,MULTI-RESISTANT ORGANISM SCREEN,279
2847,2915,MULTI-RESISTANT ORGANISM SCREEN,268
2848,2916,MULTI-RESISTANT ORGANISM SCREEN,341
2849,2917,MULTI-RESISTANT ORGANISM SCREEN,410
2850,2918,MULTI-RESISTANT ORGANISM SCREEN,246
2851,2919,MULTI-RESISTANT ORGANISM SCREEN,268
2852,2920,CEREBROSPINAL FLUID MICROBIOLOGY,663
2853,2921,MULTI-RESISTANT ORGANISM SCREEN,267
2854,2922,MICROBIOLOGY,456
2855,2923,URINE MICROBIOLOGY,401
2856,2924,URINE MICROBIOLOGY,1684
2857,2925, THROAT MICROBIOLOGY,305
2858,2926,MULTI-RESISTANT ORGANISM SCREEN,276
2859,2927,MULTI-RESISTANT ORGANISM SCREEN,275
2860,2928,RESPIRATORY MICROBIOLOGY,938
2861,2929,BLOOD CULTURE MICROBIOLOGY,228
2862,2930,MULTI-RESISTANT ORGANISM SCREEN,236
2863,2931,URINE MICROBIOLOGY,442
2864,2932,MULTI-RESISTANT ORGANISM SCREEN,199
2865,2934,MULTI-RESISTANT ORGANISM SCREEN,276
2866,2935,MULTI-RESISTANT ORGANISM SCREEN,276
2867,2936,MULTI-RESISTANT ORGANISM SCREEN,275
2868,2937,MICROBIOLOGY,440
2869,2938,MULTI-RESISTANT ORGANISM SCREEN,275
2870,2939,MULTI-RESISTANT ORGANISM SCREEN,254
2871,2940,MICROBIOLOGY,439
2872,2941,MULTI-RESISTANT ORGANISM SCREEN,273
2873,2942,MICROBIOLOGY,484
2874,2943,MULTI-RESISTANT ORGANISM SCREEN,276
2875,2944,MULTI-RESISTANT ORGANISM SCREEN,274
2876,2945,MULTI-RESISTANT ORGANISM SCREEN,275
2877,2946,MULTI-RESISTANT ORGANISM SCREEN,272
2878,2947,MULTI-RESISTANT ORGANISM SCREEN,275
2879,2948,URINE MICROBIOLOGY,516
2880,2949,MULTI-RESISTANT ORGANISM SCREEN,253
2881,2950,BLOOD CULTURE MICROBIOLOGY,228
2882,2951,MICROBIOLOGY,400
2883,2952,MULTI-RESISTANT ORGANISM SCREEN,277
2884,2953,MICROBIOLOGY,415
2885,2954,MULTI-RESISTANT ORGANISM SCREEN,262
2886,2955,BLOOD CULTURE MICROBIOLOGY,232
2887,2956,MULTI-RESISTANT ORGANISM SCREEN,275
2888,2957,MULTI-RESISTANT ORGANISM SCREEN,267
2889,2958,MULTI-RESISTANT ORGANISM SCREEN,268
2890,2959,MULTI-RESISTANT ORGANISM SCREEN,263
2891,2960,MULTI-RESISTANT ORGANISM SCREEN,267
2892,2961,BLOOD CULTURE MICROBIOLOGY,1166
2893,2962,MULTI-RESISTANT ORGANISM SCREEN,268
2894,2963,URINE MICROBIOLOGY,799
2895,2964,BLOOD CULTURE MICROBIOLOGY,236
2896,2965,RESPIRATORY MICROBIOLOGY,817
2897,2966, THROAT MICROBIOLOGY,781
2898,2967,URINE MICROBIOLOGY,401
2899,2968,MICROBIOLOGY,503
2900,2969,BLOOD CULTURE MICROBIOLOGY,236
2901,2970,MULTI-RESISTANT ORGANISM SCREEN,276
2902,2971,BLOOD CULTURE MICROBIOLOGY,228
2903,2972,MICROBIOLOGY,402
2904,2973,MULTI-RESISTANT ORGANISM SCREEN,275
2905,2974,MULTI-RESISTANT ORGANISM SCREEN,267
2906,2975,RESPIRATORY MICROBIOLOGY,535
2907,2976,URINE MICROBIOLOGY,456
2908,2977,RESPIRATORY MICROBIOLOGY,420
2909,2978,URINE MICROBIOLOGY,421
2910,2979,RESPIRATORY MICROBIOLOGY,449
2911,2980,CATHETER TIP MICROBIOLOGY,243
2912,2981,MULTI-RESISTANT ORGANISM SCREEN,254
2913,2982,CATHETER TIP MICROBIOLOGY,236
2914,2983,MULTI-RESISTANT ORGANISM SCREEN,268
2915,2985,MICROBIOLOGY,488
2916,2986,BLOOD CULTURE MICROBIOLOGY,541
2917,2987,BLOOD CULTURE MICROBIOLOGY,237
2918,2989,URINE MICROBIOLOGY,401
2919,2990,MULTI-RESISTANT ORGANISM SCREEN,275
2920,2992,URINE MICROBIOLOGY,489
2921,2993,MULTI-RESISTANT ORGANISM SCREEN,273
2922,2994,RESPIRATORY MICROBIOLOGY,1197
2923,2995,MULTI-RESISTANT ORGANISM SCREEN,336
2924,2996,BLOOD CULTURE MICROBIOLOGY,580
2925,2997,MULTI-RESISTANT ORGANISM SCREEN,276
2926,2999,MULTI-RESISTANT ORGANISM SCREEN,263
2927,3001,BLOOD CULTURE MICROBIOLOGY,228
2928,3002,MULTI-RESISTANT ORGANISM SCREEN,262
2929,3003,BLOOD CULTURE MICROBIOLOGY,223
2930,3004,MULTI-RESISTANT ORGANISM SCREEN,342
2931,3005,MULTI-RESISTANT ORGANISM SCREEN,263
2932,3006,MULTI-RESISTANT ORGANISM SCREEN,263
2933,3007,MULTI-RESISTANT ORGANISM SCREEN,262
2934,3008,MULTI-RESISTANT ORGANISM SCREEN,241
2935,3009,MULTI-RESISTANT ORGANISM SCREEN,262
2936,3010,MULTI-RESISTANT ORGANISM SCREEN,276
2937,3011,MULTI-RESISTANT ORGANISM SCREEN,263
2938,3012,MULTI-RESISTANT ORGANISM SCREEN,276
2939,3013,MULTI-RESISTANT ORGANISM SCREEN,275
2940,3014,MULTI-RESISTANT ORGANISM SCREEN,236
2941,3015,Bacterial Antigens,592
2942,3016,MULTI-RESISTANT ORGANISM SCREEN,275
2943,3017,MULTI-RESISTANT ORGANISM SCREEN,276
2944,3018,MICROBIOLOGY,477
2945,3019,URINE MICROBIOLOGY,473
